guest_id,translation.comments
22143359,"Elise and her family stayed at our Airbnb for 1 night. Nice guests. They left everything tidy. Thank you for that.  Upon departure, she sent another message. 
Recommended for every Host. Dalien and the other guests left our cottage very clean. They will always be welcome back with us! Thank you for your visit. Kind regards, Anke and Martijn Elisa stayed 1 night with her daughter, knew the way in Amsterdam. 
Respectful and friendly. Left the house clean, tidy and tidy. 
Highly recommended! Despite not meeting, Elisa and her family were very nice guests. Everything was left tidy. Welcome again. Elisa and her family were great guests, easy communication and respect for house rules.
The apartment has been left in order.
Recommended guests!!!!"
22356318,"Hello Miguel,

Thank you so much for your visit . 

Welcome back 

Louis It went very well, Miguel is very reassuring, it was like we already knew each other, and trust was easy to build. Thank you for taking care of the apartment."
22428204,"Overall, everything went well. The rental went very well, Alexandra is very friendly, and the apartment was made impeccable, I recommend it! Very nice, punctual with excellent communication throughout the stay. I highly recommend it."
22486766,"Semir is welcome anytime, welcome. 
everything worked smoothly Semir left the apartment very dirty. It was booked for one person but slept more in the apartment. No trash has been brought down. Everything was left dirty. Please no longer book. All the best!"
22838547,"I recommend charline , good communication and respect for the premises Thank you so much,the apartment was perfect!When you want to come back, you are welcome. You are really friendly and kind, I hope to see you again Charline has left the accommodation in very excellent, clean and tidy.... communication through friendly messages Charline and Allan are a very nice and friendly couple, very respectful of the place. It was a great  pleasure to meet and talk with them. Their dog is very nice and cute. Charline is very nice, delighted to meet her I recommend her."
22994567,"Ernesto and his friends are nice guests! Ernesto and his group were very kind communicative. I am happy to have collaborated on their vacation 
Welcome anytime Ernesto and Andreas are very dear guests. We are always happy to come, now it was the third time. You can come back to anyone!"
23285374,"Pedro and his companion were excellent guests. I recommend it! It was a pleasure to have you! We look forward to seeing you again:) Excellent guests, waiting to receive them again It was a pleasure hosting you in our home! From the time of booking to checkout, they were exceptional guests. Communication was smooth and fast, they always responded to messages in a timely manner and were very respectful of house rules.
During their stay, they showed great care for the property and kept the place in perfect condition. It was noted that all house rules followed. 
They were very respectful of local rules and showed genuine interest in making the most of their time here, exploring the area and enjoying the local attractions. 
They're the kind of guests any host would want to have. They'll always be welcome in our home, and we'd recommend them to other hosts in the Airbnb community without hesitation. VERY GOOD GUEST. THANK YOU."
23345857,"Ignacio, Dimas and Adrian were exemplary guests at Casa Samuel. Friendly, respectful and always attentive, they took care of every detail of the place as if it were their own. It was a pleasure to have you in Barichara and you will always be welcome back. Thank you for your good energy and for choosing us! Great guest ! Adrian's parents have been great guests! Definitely hosting them again:) Adrian is a great guest!
Friendly, polite and close.
The apartment left it in excellent condition. You can come back anytime!"
23838718,"Perfect guests in terms of communication and respect for the cottage 
thank you to them Didier's stay with us went very well, the apartment was returned in perfect condition. 
We would recommend this guest and would be happy to host it again. Great! Would recommend it in a second."
23928975,Thank you for staying at our Airbnb and making the apartment very clean. I would recommend it in a second. See you very soon. Thank you
24039402,"The apartment has been made clean and tidy.
Guidelines have been followed.
Everything is perfect.
Friendly family"
24494061,"Very nice and very polite! Recommended! With Adrien communication is easy and pleasant, very respectful of the premises, we recommend Adrien VERY STRONGLY!!! i highly recommend, fluid and friendly communication, very respectful of the accommodation, thank you To be received without moderation +++! Apartment made in impeccable condition. Very good communication I recommend"
24709298,Beatriz was a great guest and we recommend it.
24875278,"Jonas and his group were very nice guests. Communication was straightforward and house, garden and beach were left perfect. Thank you and will be happy to come back anytime."
25390391,"Very good guest! Carlos and Tatiana were excellent guests! Excellent guest , like his family, highly educated people, highly recommended, we hope to have her again in our place Tatiana is very friendly and polite. We communicated without problem and the apartment was in very good condition when we left. We look forward to seeing you in Buenos Aires whenever you want. Tatiana always welcome.  Thank you very much for visiting."
25706587,"Hervé and Isabelle left the accommodation very clean. They were always afraid to disturb. 
Very kind. 
It would be a great pleasure to host them again. 
I recommend them without any problem. 
See you very soon Hervé spent a night with us. He communicates little but left the apartment clean. Very friendly family and very respectful of the house . Thank you for staying at the ""Madeleine"" and look forward to hosting you again."
26279665,"It was a short stay but was glad our place was chosen. Weird people, with an interest in getting to know the local area. We are happy to open the doors for them again."
26418634,"It was a quiet stay, there was an issue with the pool , but it was resolved quickly 🙏 Patricia was a wonderful guest. Very nice and nice. The apartment that went out was perfect.  Love at first sight! I met Patricia and Marcos and was immediately friendship! They are so nice and amusing, we also spent a night together out in a little bar close to Ponte Vecchio and time was so pleasant!
Everything was great also during booking, check-in and check-out and they left a perfect flat.
They are among the best guests I've ever had Great guests Patricia&husband !
We are happy to have known them ! Educated , sympatic and intelligent persons !
Two friends for us !
We hope to rewiev agains ... may be in Brazil (SanPaolo or Rio de Janeiro).
All the best !!!
Tuziana&Stefano :) It was a great pleasure to have you staying with us. Thank you for enjoying Amsterdam to the max. Please come again. Anke and Robert"
26586772,It has been a pleasure to host Cristina and her family
26588360,Good guest.
26841339,"Bojidar is a very nice and respectful guest. Apartment is spotlessly clean.  I would like to recommend it without hesitation and as a guest. polite and very respectful guest, see you soon. perfect guest, I recommend hosting Bojidar without hesitation. I had a chance to swap a few messages. She was helpful and kind person Bojidar and his companion left the property in perfect condition. Communication and everything was very friendly and absolutely reliable. Anytime again💫"
27010762,a pleasure to welcome Daniel and his family at home. We look forward to seeing you soon!!!
27067176,A very nice guest! Good communication before and during the stay. It was able to appreciate and respect our singular apartment. I will rent her again with pleasure and I recommend her!
27483655,"It was a real pleasure to deal with Simone, a very friendly, kind and respectful person. Simone is an exceptional customer that I recommend without hesitation! He and his friends showed great respect for the place, leaving the Riad in pristine condition. Communication was fluid and respectful, making our exchanges pleasant and cordial. I hope all hosts have the chance to meet someone as respectful, friendly and caring as Simone. We look forward to welcoming them back very soon in our haven."
27658519,"Thank you very much for using it so beautifully!
Communication is also smooth and very recommended.
Also, please use it if you come here!
Thank you very much."
27716598,Lorie and Carsten are very friendly and enthusiastic. Good communication. They observed the rules related to rental. We highly recommend them and will welcome them again with pleasure!
27792282,"Jorin and his family were very welcome guests for a short time though, and left the house clean and tidy. I hope to receive them in the future for a more relaxing vacation here at Villa Federica, a hug 😘😘"
28062039,"Clemence and Julien were pleasant guests with whom it was easy to connect with.
apartment made spotless.  
i recommend it! Great traveler!

I would be happy to welcome Clémence back to my home. I recommend Clémence  and Julien. Good communication. Very good communication with Clémence. The stay went well Julien spent a short stay at our house in Bouzigues and was discreet, and respectful of the place, we recommend him"
28446325,Javier and his friends are lovely and very nice. The apartment remained impeccable. I would recommend them in a second. Super cute couple. Very easy communication. Everything was perfect... to repeat! Very nice and nice guys Javier has been a great guest and very polite. The room was in perfect condition!! Until another time!! I am delighted with J and her family. We were very congenial and everything was great. Fully recommended experience.
28705549,Cosy and patronized
29308234,"Very bad
From the first night a chaos, when they will arrive in the early morning to go quietly and go to rest, if they would stay until 2 o'clock in the morning laughing and chatting loudly and no one would sleep 
I lost my whole tonight for not going to sleep again 

Set personal things apart in the living room 
And toilet paper inside the toilet 

They are uneducated and I don't respect 
For the first time (in 3 years), I had to ask to cancel a Reservation all good"
29338705,"Érica and her family were great guests. Very organized and polite. I recommend it. Erica and her group took great care of the house, and they left everything well cleaned. They respected all the house rules perfectly. I just have to thank you."
29501728,"Very kind and very nice, see you soon! a beautiful family 
and the puppy is a sweetheart
They always responded quickly to messages. 
i highly recommend them We are happy to have hosted Elise and her small family. It went very well. We'll be happy to host them again."
29729850,"I can only summarize with one word… perfect guests. 
I really hope to see them again soon A beautiful couple clean, tidy and respectful of house rules 
Recommended I did not have the pleasure of meeting Alessandro but everything went very well with this guest. I would recommend it in a second."
30188092,"Cat and his family stayed one night, everything went perfectly."
30429577,"Great guests! They were very respectful of the house and followed all the rules. It was a pleasure hosting them.

I highly recommend these guests to all hosts! Nice guests! Always happy to"
30691298,"perfect, like the first time. Very friendly person with his little angels.
i recommend it without a problem. Easy communication with Pauline, apartment left in impeccable apartment. It's nice to come back and find her apartment in order, a pleasure to welcome Pauline! Thanks to Pauline for her correction and kindness; Psuline and her family were great guests,  tidy and very  communicative."
30923384,Sabine left our house tidy
31085671,"We just met for check-in and check-out. Friendly and polite people, the apartment  has been delivered in order. Thank you "
31353710,"It was a joy to host Corinna! Corinna was friendly, straightforward and respectful of our place. The positive attitude made the host experience really enjoyable. Corinna has left the property in excellent condition. We would be happy to welcome Corinna back to us."
31369298,Diana was an exemplary guest in all respects. Nice to have you in my home You used the accommodation so cleanly
31394953,Everything went well. Communication with Simon was great at all times. She left the room tidy and clean. Recommended! Very nice guest and good communication.
31614233,Irene and her husband were very friendly people. They left everything neat and tidy.
32823004,"thank you for your visit, it was very nice to meet you - and we look forward to seeing you soon! Thank you very much and best regards coni and Stefan everything went very well. I highly recommend it!"
33305990,Everything perfect
33648422,"thank you for your stay! always welcome back! It was a very spontaneous booking, but everything worked out wonderfully. The family was very pleasant, tidy and very friendly in contact. May come again any time 🙂 Jasper was a great guest the communication was very friendly and uncomplicated and the apartment was left in top condition. We would be happy to welcome you back at our place. Everything is great, recommended! Jasper and girlfriend slept with us for a night to relax and unwind. The contact both online and in our AirBnB went well and was very friendly. The room was also neatly left behind, so in short, a recommendation for other  AirBnB"
33661748,"Jean-Marie and his girlfriend are very happy enthusiastic guests.
They are always welcome again Perfect in every way! Jean Marie is a very nice and clean person! The misadventures he arrived in a good mood and with a smile! jean marie is a great host, very charming and polite. super recommend Excellent , friendly and friendly guests. I recommend other hosts to have them as their favorite guests."
34443439,"I highly recommend Xavier and her family.  They were super nice.  Very polite and kind children.  They will always be welcome in our home. Everything went well with Xavier, I would accept hosting him again without hesitation :) We were delighted to be able to welcome Xavier, the course of the stay went well! We'd be happy to host her again Xavier's stay went well. I recommend it. Everything went very well."
34935329,"polite friendly people Anna was a good guest, precise and respectful of the house rules. Communication was fast and Chiara.It was a pleasure hosting you Anna and family were special guests, very polite and nice. It was a real pleasure to meet them and spend this little time with them and I hope to meet them again. They left everything in order."
35186759,"friendly and respectful guests Dries has stayed with 2 friends in our chalet.
They enjoyed the festival in Steenwijk.

Everything is neatly left.

We look forward to seeing Dries and his friends again."
35408877,"Thank you so much! 
Very respectful guest. Perfect, Hugo was very organized, the studio booked in advance, good communication .  "
35444688,"I couldn't meet Juliette and her two friends, but communication with Juliette was great; polite, communicative and pleasant. They took care of and left the house in perfect condition, so highly recommended!"
35844776,"Nice group of students . Very good communication from the start 
They left the house in very good condition "
35977268,Very nice guests happy to come back.
36068472,"It was a pleasure to welcome Tim and his wife into my home . They took care of my apartment, communication was perfect, I would highly recommend it"
36497175,"Good guests :)
Super friendly and quiet
 🙂‍↔️I recommend ! Domenic was an amazing guest. He is very considerate, thoughtful and left my apartment absolutely trackless. My plants have also felt very comfortable with him and he is welcome back as a guest at any time."
36714642,"Communication with Salvatore was complicated. He responded late to report an elevator and cleanliness issue. The elevator, renovated the day before, did not go down to the ground floor because of a badly reset button — he called us liars about it, which we find inappropriate and inelegant, especially since we have the evidence from the property manager. On the housekeeping side, the former tenant clearly wrote that the apartment was “very clean”, and cleaning was done before she arrived. To reassure him, we offered to have someone come back to clean again, but he refused. His photos showed a little dust behind the TV or under the cabinet, easily correctable in a 30 m². Salvatore seems very demanding in these different comments, which we respect, even if we were somewhat surprised by the condition in which he left the premises (hair, dirty coffee maker, ""brown"" traces in the bathtub). Nothing serious, though. Super friendly and kind guests! Having the opportunity to host people like them is an honor, Thank you!!"
37043533,"Thanks for choosing my place for your stay! 

I hope to see you again very soon!"
37263296,"Discreet and very pleasant host, a pleasure to receive him!"
37372867,"very nice person, discreet, very respectful of our environment we highly recommend Thank you for your pleasant stay, you are happy to come back.
Kind regards Damien Very  pleasant guests.  Reseptuous  of places I recommend no problem. Perfect place made nickel Everything went well with Catherine"
37658907,"Everything is very good, Great customers  will always be welcome.
Recommended for everyone"
37921911,"Magdalena and Alejo are wonderful people, impeccable guests converted into beautiful friends, and great parents.
A real joy to have had the privilege of your stay in JOY. Always welcome. Perfect experience 100% recommended for all hosts. I would definitely repeat. Thank you Magdalena!!"
37925508,"Katharina was a wonderful guest! The communication before and during the stay was clear and timely. Katharina treated our house with the utmost respect and left everything clean and tidy. We would greet Katharina again as a guest at any time. Highly recommended to all Airbnb hosts! It's a nice simple family, everything went well"
38055636,"Great communication, good guests"
38070754,Helena was a very enjoyable guest for two nights. Come back and visit us again!
38071968,"It was nice to have Derek! It was extremely cordial, respectful and careful with the space. Communication was excellent throughout the stay and followed all the house rules carefully.  I recommend it to other hosts and we'll be happy to welcome you back at an upcoming opportunity. They are very nice guests, welcome to come next time, thank you"
38524852,"Johannes was a very kind and polite guest, leaving the house in excellent condition. Johannes and Johanna were wonderful guests! 
Very kind and respectful! 
Thanks Johannes! Super nice guests! Friendly, easy, and communicative. They left the apartment in top condition. I was happy to have you and I hope they will come back one day. You are always welcome."
38783189,Lovely guests. Couldn't get better. Anders and his family have been great guests. At all times we communicate easily and they have taken care of the house perfectly.
39672316,"A very nice couple, I would highly recommend it. Looking forward to hosting Julien and her family. 
Respectful and very friendly people.
We recommend this family, maybe see you soon for a new stay. We can recommend Julien who left us everything in good order..."
40298778,"Very friendly and pleasant guests who were respectful of the place. I didn't get a chance to meet Justine, but our text messages suggested that Justine was a nice person! Justine and her friends left the apartment spotless. Great!"
40308471,"Thank you for staying with us and looking forward to hosting you again whenever you want Well done, pleasant travelers I would recommend Everything went well.
We recommend Laura to the Aibnb community 
Odette and Pierre MASSON Hosts who are very friendly and respectful of the home, we highly recommend them!"
41538081,"Great, everything was perfect in the apartment and they were always in communication with every question or if we could help them, we would definitely reopen their doors."
41607854,It went very well. The house is made clean and it was easy to communicate for check-in and checkout details. Recommended
42446061,"Ying was a very nice guest.
Very charming and cute!
  She was always attentive to our house rules.I recommend it to hosts around the world!
We look forward to seeing you again! Thank you very much!"
42661956,"super guest, respectful and friendly, responsive, I would highly recommend it"
42935408,"Simon and his partner are smiling, friendly, and endearing guests. I would definitely recommend them!  Glad to have hosted Simon and his friend at the apartment. Everything went well. We were able to chat pleasantly upon arrival and departure. Super nice!"
43133500,Maria's stay went very well. She took from the studio and our interactions were always very warm. We would recommend it without hesitation.
43561706,"Thank you for your stay, it was a pleasure to welcome you. Thank you for your very good communication. Luc was friendly from the start, he was also very respectful of the place and made it very clean. Excellent huspedes, Luca had communication with me all the time they took care of the house very well.  Luc and his wife his very charming people... I was really delighted to meet them....."
44041911,"good Good communication and respect for the premises, Gabriela left the apartment in impeccable condition. 
I recommend it!"
44042385,"Everything went very well, respectful host, easy and fluid communication and very friendly! You are welcome anytime!"
44213020,"Excellent guest, very good communication."
44384824,"Erich was an excellent guest, we recommend him to other hosts."
44391950,"It was a pleasure to have Kyle these days as a guest, very kind, friendly and very communicative! It will always be a pleasure to welcome you again! Until ever Kyle!!!"
44497808,"very nice guests Penelope and friends are beautiful girls,quiet and cultural, they left the apartment tidy."
44807055,great guests
44825202,"Super quiet accommodation.
Easy to communicate, I refer to 100% as a guest."
45065717,"A very respectful person, easy communication, 
respect for the premises.
i highly recommend this person. Ludovic is very friendly and respectful of the place. Discreet and pleasant. It's a pleasure to receive it. Ludovic is super nice and pleasant. He is respectful and very autonomous. I highly recommend it without hesitation. I highly recommend Ludovic and his friend. They are very kind, friendly and discreet. They left the place clean"
45137840,We would very much like to welcome Cristiane to Villa Blanca you will always be welcome.
45637871,"Thank you so much for staying with us Kyle in Rapanui, Chile. Wherever you go, we wish you the best! Iorana!"
45731596,"Me quedei without words to describe Michele and her group: simply wonderful.  He worried about making the apartment thoroughly clean, as if it hadn't been occupied by the couple and their children… all very polite, receptive and kind… I hope to welcome them again and I highly recommend hosts to welcome Michele and her beautiful family. Mrs. Michelle  was a communicative guest,
 and respectful of the house rules and condominiums. It was a pleasure welcoming you to this home, designed to feel in the coziness of your home.
Camila Gillet Machado - airbnb.com/h/larnossolar Michele and her family took good care of the house and were always very nice. Michelle and her family came from Switzerland and we had a great experience. Excellent guests. Recommend!"
46437792,"Really nice and discreet family. The apartment has been left tidy and clean. I definitely recommend them as guests, and I hope to host them again."
46563422,Polecam
46879598,"Happy hosting! A kind family that has optimized the time between hiking and relaxation in the peace of the Hermitage and its surroundings. 
 It was very interesting to chat with them in front of a cup of coffee."
47169929,"He used it very cleanly ^ ^ Did you have a pleasant trip to Gyeongju?? 
Please visit our Lyraum again next time. Even though several people came, they used it cleanly and quietly, and the manners were so good. I recommend it as the best guest ~ ^ ^ You used the room very cleanly: D Communication was smooth, the place was kept in good condition, and you followed the rules of the house well.
This is a guest I recommend:) You used our accommodation really cleanly:) Thank you and I wish you all the best!/bnr_jeju"
47175761,"It was a pleasure to welcome Matheus and Juliana to our home! They were extremely polite, respected the house rules and kept everything impeccably organized. Communication was excellent from the start, which made the experience very smooth. We recommend Matheus and Juliana to any host and hope to have them back in the future! Matheus and his wife were very easy and easy to communicate with.
They left our house tidy and respected all the rules during their stay.
I would host again for sure :) Matheus and his wife were very polite and attentive. They complied with all the house rules during the period and left the apartment in order. Matheus and Juliana had super quiet lodging. I would recommend it. Matheus and Juliana were wonderful tenants! Communication was great and they left the apartment impeccable. I can absolutely recommend them to each host! :)"
48011094,Everything  is good  communication  !!!
49486748,"Dana was very nice and friendly. 
Respectful of the place, I recommend its presence."
49623820,"Great guests, looking forward to hosting you again! Leanne and her mom were very discreet, we hardly saw each other. However, they left the apartment in perfect state of mind. I recommend them without hesitating"
50086995,"very good host All phenomenal, clean guests,good communication, recommended"
50516191,"Mathieu was a great guest! I would love to welcome Mathieu again. Mathieu took very good care of my accommodation, left everything clean and tidy. It was a pleasure to have such a tidy guest. Highly recommended!"
51100038,"Camila and her friends are note ten!! Always welcome! It was very nice to host Gabriela and her friends. You will be welcome when you want to return! Camila is an excellent guest! This is the third time we've hosted it, and it's always perfect! Very friendly and always leaves everything absolutely clean and tidy. 
I hope to have you as a guest many times!! =) Camila was a great guest, she left everything organized and clean in addition to respecting the rules of the condominium Camila is an excellent guest!! always keeps everything organized and clean. Very friendly and kind! I hope to host you more often! =)"
51826799,What a nice guests! We enjoyed hosting them and would love to welcome them again :)
51933578,"I would recommend Jeremy and Eleonore,
Clean and tidy apartment."
52742795,"Recommended guests... Viviana and her partner are two good people, friendly and polite. Available and punctual. Hope to meet them! It was a pleasure hosting  Viviana and her partner. Friendly and sunny people. Respectful house rules. Recommended for everyone Couple of discreet, punctual and respectful vacationers. It was a pleasure to welcome them. I recommend it because they are friendly and kind people"
53122805,"Check out with the room clean
Thank you!
A recommended guest🌟"
53178215,"It was very pleasant to have Roelien and Anja as guests. Sometimes we don't meet our guests. This time it is, and that is extra nice when you sometimes have a little more to agree on. It was just very pleasant, the apartment was left in good condition and we sincerely hope to welcome them again in the future.  Greetings from Deventer! Anja and Roelien were likeable uncomplicated guests who enjoyed the time with us and left the apartment clean - happy to come back 😉 Anja and Roelien are very neat and friendly guests. The apartment is left neatly behind again. Definitely welcome back next time! 🙂 Anja was a great guest. Very friendly and tidy"
53327177,"Friendly , Audrey and her friends left the house as they found it. they are recommendable and adapt ."
53433074,"Thank you very much for your opinion. It's been a pleasure to host them Everything is perfect. A pleasure to welcome Maia and her family members. Great stay with Maia, everything went well, she left the apartment clean and tidy. Good communication. I would recommend it 100%."
53604802,"Very nice 
Thank you so much for your visit to Paris 
Habiba Tristan did not leave the apartment in good standing. I don't recommend it as a guest.
The flush was not flushed, there was food on the floor as well as trash.
Big disrespect from him.
I don't recommend it."
53716171,Great guests! Come back again!! Courtesy and discreet hosts who left the apartment in very good condition.
54060225,Everything ok!! Apertment left clean!
54224386,Perfect
54402312,Andrea her husband and daughter have been the best in guests. She is especially communicative and considerate of all looks. We will be glad  to come back at any opportunity.
54451095,"Paulina and Anders Kaivo-Oja visited our beachfront one in Ekenäs 8-10/8-24. The visit was completely hassle-free and I sincerely wish Paulina and Anders come back to Ekenäs sometime! To all other landlords, I highly recommend Paulina & Anders!"
55039294,"Chrystian and his wife are a very nice couple with whom communication is very smooth and it is nice to have a conversation with. They are very interested in their surroundings and very eager to learn, which is why it is so nice to tell them all about Amsterdam. It was a very pleasant experience to have them as guests and I highly recommend them."
55652524,Rain and her boyfriend turned out to be two great hosts. Great communication and no issues. They left the house clean. Thank you very much. See you soon!
55857690,Thalia's stay was great! We look forward to hosting you again! Thalia with her company is one of the guests who everyone would like!!! I hope they come back to our place and our home.
56941077,It was a pleasure hosting Gabriela and the rest of her group. Everything was perfect!
57417135,Cleaning and communication of 10. 100% recommended. Everything is perfect
57680899,"Everything is fine with the accommodation of Patrício and his family. They were great guests. You are welcome to return anytime. No complications. Took good care of our space. Patricio, thank you for choosing us for your stay! It was a pleasure to have you with us and we hope to meet again soon. Um abraço :) Patrício was a good guest. I definitely recommend it a lot. Peaceful stay!
They loved the view of the sea and the lagoon !
Found the apartment very well located in front of the beach"
57709997,"Mathieu took great care of my apartment.
Impeccable condition. A big thank you for such care and discretion.
Another time with pleasure. Friendly family coming to spend a few days in Anjou. Good communication before and during the stay. Clean returned space. I recommend it."
57875932,"I was unable to welcome Guillaume in person, but we were able to communicate easily by Phone and Text Messages. The place has been returned in a very good condition. Thanks."
58532881,Johan andfl is highly recommended🌸
60809751,ciao..nice to meet you..grazie mille..
61359186,"It will be her boyfriend to be a solar couple, sociable, and a lot of desire to get to know Castellammare del Golfo and everything he has to offer in his surroundings. For, nice and respectful of the house, that I had the pleasure of offering them.
I recommend all hosts to welcome them, it will be a real pleasure to have them as guests.
Warm greetings guys , from Castellammare del Golfo 
Giuseppe"
61736487,Very pleasant guests
62090368,"Melwin is a very nice guest. Easy and pleasant exchange, he made the apartment as clean as it was We welcome him again with great pleasure."
62495017,Rèmy and his friends were charming. Very respectful and they left the house in perfect condition. I 100% recommend them to other hosts.
63648056,"Paula and her partner were very good guests . They left everything great and communication with them was very good .
Nice to meet you! 🙂"
63829534,"It's a great pleasure to host the Naftaly family as always respectful, friendly and discreet
i highly recommend I recommend it, the communication between us went well,they maintained my flat well.
I recommend 
it. Thank you Naftaly was perfect.
Thank you so you made the space spotless. Nafraly's family as always very clean and friendly I would highly recommend It's a pleasure to host people like naftaly and Lisa 
They are very friendly and respectful. I recommend it without hesitation."
64784361,"Nathalia  and her family are very friendly, quiet and respectful people, they left everything very organized and clean, we loved having them in our house, always welcome!"
66212723,"It was nice to have Robert as our guest! Excellent communication, they took care of our apartment and made it impeccable. We recommend them as guests and look forward to hosting them again in the future Very friendly tour."
66969931,Thank you very much.
67337540,"Philippe and his daughter Clara two exceptional and very friendly guests. Despite being a short stay, the contact with them has been  very close and fantastic. Clean, tidy and recommendable one hundred percent. Merci pour tout Lovely guest"
67769689,Peter is a friendly guest who has taken care of our home. Recommended
70114307,"Friendly hosts for 1 night in the cabin.
Were able to enjoy the place. Very friendly and respectful guests of the apartment, thank you see you soon 👍🏻 Chloe and her family stayed for a weekend, everything went very well, they were respectful of the place and we look forward to seeing them again, see you soon The accommodation was impeccable from Chloé, she looks nice, I recommend her! Chloe and her partner were nice and respectful hosts"
71163527,"Patrick and Laurence were pleasant hosts, welcoming and really kind, and they were very available during our various requests.
The apartment was very clean and arranged.
We had a great stay and would definitely recommend it."
71760252,Everything super Charis from a friend of mine are two young and very nice women . No problem . The place was clean . I recommend it to the next hosts . Thank you so much for your visit to my apartment :-) Charis was an amazing and uncomplicated guest. She is welcome back anytime.
71905543,"Great person, he respected the house rules, communicative and friendly . I highly recommend it to all hosts Everything went great, very friendly guests! Recommended:)"
72056580,"Jacques and Esteban spent 2 nights at our place. Discreet and friendly, they are welcome The two members of the association of which Jacques is part and that I had the pleasure of hosting are charming, friendly  and committed people. Courtesy and respect for the premises are obvious to them. They are one of the valuable people in society, whom it is always valuable to meet! I recommend it!! Hello very pleasant guest, everything went very well No need to come back to my home during your next visit to Toulouse 

Jacques was very unpleasant after his arrival. 
Accusing me of not replying to his messages for hours when he hadn't sent anything. 
Râlant because of the mosquitoes when I had made an outlet available to her. 
Ralant again against the wifi while before my eyes it went. 
He did not respect the rules at all when he left: did not remove the sheets, nor did the garbage can or do his dishes..."
72087933,Nacho is an excellent person apart from being tidy and kind. A pleasure to share moments with him and his knowledge. Highly recommended!
73588320,"Simply wonderful guests,very nice and very clean. Nice guests,they left the place tidy and communicated politely. Everything went great and Golnas was a great guest: clean, tidy  uncomplicated and the communication was also great ! We'd love to come back anytime:-)"
74275205,"Lovely guests who are welcome again at any time. Irina and co. can definitely be recommended as guests. Hallo Patrick,
thank you for your stay in Hamburg.
We hope this message finds you well. From our side everything was fine :)

Best regards,
Agency at the Fish Market"
76195612,"It was a real pleasure to welcome (Bruno and his family, They were extremely respectful, neat  Guests  for my apartment who communicated pleasantly. The house was left in perfect condition, and I would like to welcome them again as guests. Highly recommended!"" to all A-landlords Bruno adapted to our schedules, great Bruno is a very friendly and respectful guest that I would happily pick up again. bruno's stay was respectful of the accommodation and with fluid communication A stay that went very well with Bruno.
Great exchanges.
We look forward to welcoming you back.
I would recommend it."
77619806,"Thank you for staying with us.
I'm looking forward to it."
78151103,"Great guests Jessica was a quiet and friendly, super recommended guest. An impeccable guest. Great communication. Everything was perfect! Cleanliness, friendliness, and fairness.
I hope to have them back as guests."
81720019,"Thank you for respecting the premises:) very good, I would recommend! I had the pleasure of entrusting my apartment to Luc.
Perfect visitors. Christelle and Luc are very pleasant, respectful and kind! I recommend it! They're a very friendly couple. Great conversation about their weekend's schedule. The apartment  has been returned in a very good condition. I would recommend them for other stays."
82543399,"Top quiet guest clean and respectful nothing negative to report Xavier and family are very nice and nice guests
Welcome here again anytime Great group, memorable evenings, a great weekend spent with Xavier and his friends.  We would recommend them to you without hesitation. Friendly couple, pleasant and discreet. The home left up up up up and clean. Looking forward to hosting them again A charming family friendly and very respectful of the rules and places. 
I would happily receive them again."
82983897,"super tenant We really enjoyed Clem and his friends.
We had a lovely time,they were cheerful it was lovely. Everything went well with Clem who was a very nice host with whom communication was very easy. A beautiful team of friendly and respectful young people that I highly recommend. We had an easy and cordial relationship with Clem. She and her friends returned the cottage in good order. We can recommend it as a tenant, and would be happy to see her back."
83021556,"Richard was a pleasant, friendly guest! Thank you for your visit. Friendly host, respectful of the premises, whom I was able to trust. Thank you for your stay. 
Very fluid communication, very friendly traveler and accommodation left clean. It was a pleasure to host Richard, take care! Excellent communication and respect for the premises, thank you for this stay :)"
83802831,Robin and Kevin are very polite guests. I recommend Robin and Kevin to be your guests.
85594760,"Nice guests and would love to see them back Nice girls, are always welcome Nice girls! Always welcome back. Communication was complicated with marjolein, arriving before the hour by warning at the last minute.
Despite all the efforts made to accommodate them in advance in the best possible way by meeting their material requirements,
House found dirty for the first time since I make Airbnb and lights on. nice girls and nice in communication. left the house neatly and Pom and Pam the housekaters were spoiled and very satisfied! Always welcome back."
88270762,"We had the privilege of hosting Michal and her friends for her wedding day. Cute bunch,. I'd love to host each one of them in the apartment in the future."
88387770,Rízanos was an excellent guest
90315466,"If I could, I would give Vassilis   and Carmen 10 stars!!! They left the place very clean and tidy! Very kind and very quiet ! Great couple!!! We highly recommend them!!! Very friendly guests. Perfect communication and respect for the house. Highly recommended."
91854029,"everything perfect great guest Exceptional friendly guest, polite and respectful, I hope you'll visit us again soon in Naples"
92228326,"Jingjing and his family are very nice to receive: nice, discreet; they left the apartment in impeccable condition. I highly recommend these tenants!!"
92681681,"Alice is a nice person, the exchanges were easy and the accommodation was made  clean. Recommended no one following the guidelines and without any worries. Alice and her daughters very nice and nice guests 
They're welcome again People I would recommend. Alice and her mom are very friendly and discreet as well as respectful of the place."
92689930,"Charming and respectful family the apartment has been made nickel . nice people left everything neat and tidy You can come back anytime, there's no problem, very nice 🤟🤟🤟"
93191285,Good guy Hakan is a nice person. Take good care of the room for us. Recommended.
93610237,friendly and respectful  guest
94298407,Erik and his family were great guests. Communication was perfect. It was a real pleasure to have you with us.
